trip_scheduledArrival,trip_realtimeArrival,trip_arrivalDelay,trip_scheduledDeparture,trip_realtimeDeparture,trip_departureDelay,trip_realtime,trip_realtimeState,trip_serviceDay,trip_trip.gtfsId,trip_trip.route.shortName,stop_gtfsId,stop_name
45540,45694,154,45540,45710,170,True,UPDATED,1631912400,HSL:2531_20210917_La_2_1200,531,HSL:2312218,Kalastajankuja
45960,45957,-3,45960,45969,9,True,UPDATED,1631912400,HSL:2531B_20210917_La_2_1231,531B,HSL:2312218,Kalastajankuja
46440,46442,2,46440,46454,14,True,UPDATED,1631912400,HSL:2531_20210917_La_2_1215,531,HSL:2312218,Kalastajankuja
46860,46860,0,46860,46860,0,False,SCHEDULED,1631912400,HSL:2531B_20210917_La_2_1246,531B,HSL:2312218,Kalastajankuja
47400,47436,36,47400,47480,80,True,UPDATED,1631912400,HSL:2531_20210917_La_2_1230,531,HSL:2312218,Kalastajankuja
45600,45600,0,45600,45600,0,False,SCHEDULED,1631912400,HSL:9842_20210917_La_1_1240,842,HSL:1453189,Itäkeskus (M)
46200,46200,0,46200,46200,0,False,SCHEDULED,1631912400,HSL:1831_20210917_La_1_1250,831,HSL:1453189,Itäkeskus (M)
46800,46800,0,46800,46800,0,False,SCHEDULED,1631912400,HSL:9843_20210917_La_1_1300,843,HSL:1453189,Itäkeskus (M)
47700,47700,0,47700,47700,0,False,SCHEDULED,1631912400,HSL:9841_20210917_La_1_1315,841,HSL:1453189,Itäkeskus (M)
49080,49080,0,49080,49080,0,False,SCHEDULED,1631912400,HSL:9842_20210917_La_1_1338,842,HSL:1453189,Itäkeskus (M)
45360,45360,0,45360,45360,0,False,SCHEDULED,1631912400,HSL:2531_20210917_La_1_1236,531,HSL:2312201,Kalatorppa
45540,45540,0,45540,45540,0,False,SCHEDULED,1631912400,HSL:2532_20210917_La_1_1239,532,HSL:2312201,Kalatorppa
45840,45840,0,45840,45840,0,False,SCHEDULED,1631912400,HSL:2531B_20210917_La_1_1244,531B,HSL:2312201,Kalatorppa
45600,45769,169,45600,45864,264,True,UPDATED,1631912400,HSL:2531_20210917_La_2_1200,531,HSL:2312201,Kalatorppa
45600,45828,228,45600,45900,300,True,UPDATED,1631912400,HSL:2532_20210917_La_2_1205,532,HSL:2312201,Kalatorppa
45780,45780,0,45780,45780,0,False,SCHEDULED,1631912400,HSL:1094_20210917_La_1_1242,94,HSL:1453181,Puotinharju
45840,45840,0,45840,45840,0,False,SCHEDULED,1631912400,HSL:4561_20210917_La_1_1243,561,HSL:1453181,Puotinharju
46440,46440,0,46440,46440,0,False,SCHEDULED,1631912400,HSL:1554_20210917_La_1_1253,554,HSL:1453181,Puotinharju
46680,46680,0,46680,46680,0,False,SCHEDULED,1631912400,HSL:1094_20210917_La_1_1257,94,HSL:1453181,Puotinharju
47040,47040,0,47040,47040,0,False,SCHEDULED,1631912400,HSL:4561_20210917_La_1_1303,561,HSL:1453181,Puotinharju
45240,45396,156,45240,45402,162,True,UPDATED,1631912400,HSL:2111_20210917_La_1_1200,111,HSL:2312202,Kalaonni
45600,45600,0,45600,45600,0,False,SCHEDULED,1631912400,HSL:2147_20210917_La_1_1238,147,HSL:2312202,Kalaonni
46080,46080,0,46080,46080,0,False,SCHEDULED,1631912400,HSL:2143_20210917_La_1_1246,143,HSL:2312202,Kalaonni
46140,46194,54,46140,46201,61,True,UPDATED,1631912400,HSL:2111_20210917_La_1_1215,111,HSL:2312202,Kalaonni
46500,46500,0,46500,46500,0,False,SCHEDULED,1631912400,HSL:2147_20210917_La_1_1253,147,HSL:2312202,Kalaonni
45600,45600,0,45600,45600,0,True,UPDATED,1631912400,HSL:1095_20210917_La_1_1240,95,HSL:1453182,Itäkeskus (M)
